mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,rms,label
-346.9454040527344,130.19723510742188,-20.837862014770508,41.933502197265625,-0.48856669664382935,19.307723999023438,-23.246337890625,2.6759679317474365,-9.682710647583008,0.01413679588586092,-11.922228813171387,-2.425297260284424,-3.5386693477630615,0.02660679817199707,1.0
-324.3638000488281,121.24933624267578,-12.143261909484863,27.817991256713867,8.940425872802734,7.1294732093811035,-18.410446166992188,-2.439457654953003,-6.926417350769043,-4.190323829650879,-13.755712509155273,2.2067794799804688,-5.458277702331543,0.03995426744222641,0.0
-391.2065734863281,134.2487335205078,-9.691096305847168,42.72542953491211,3.584845542907715,17.00336456298828,-13.716038703918457,-3.5374107360839844,-8.142312049865723,-1.829848051071167,-9.104450225830078,0.4265132546424866,-5.374715328216553,0.015826137736439705,0.0
-419.2691650390625,138.02145385742188,-16.09294319152832,54.668636322021484,-2.8562264442443848,27.136083602905273,-21.883668899536133,8.861872673034668,-12.129210472106934,-0.29734355211257935,-8.115155220031738,-2.8379268646240234,-3.4384536743164062,0.009008405730128288,1.0
-308.4058532714844,100.51748657226562,-12.666583061218262,52.07672882080078,-13.282567977905273,24.20316505432129,-19.86713981628418,1.1754860877990723,-16.900691986083984,-1.8380568027496338,-15.542349815368652,0.346248060464859,-2.7612547874450684,0.0427117794752121,1.0
-353.3429870605469,103.81608581542969,-5.344950199127197,50.32681655883789,-13.184903144836426,29.34299659729004,-19.64834976196289,4.797094821929932,-13.796716690063477,-0.6656743884086609,-9.88033390045166,-0.8254181742668152,-4.352344989776611,0.02013336308300495,1.0
-315.8223571777344,92.9229736328125,-1.716783046722412,33.578758239746094,-5.59230899810791,18.842262268066406,-16.712770462036133,0.5089592337608337,-14.95284366607666,-2.723487615585327,-11.252716064453125,-0.8464511632919312,-4.994041442871094,0.05225316062569618,1.0
-333.81597900390625,104.19286346435547,-5.353202819824219,37.19152069091797,0.4533141255378723,18.885231018066406,-18.555198669433594,0.45478555560112,-13.398102760314941,-2.5016398429870605,-11.614577293395996,-3.556392192840576,-6.406623363494873,0.03821168094873428,0.0
-381.89764404296875,114.65985870361328,-1.7462694644927979,50.18446731567383,-7.053434371948242,28.359521865844727,-17.61627197265625,1.531866192817688,-12.223392486572266,-3.027423620223999,-11.502070426940918,-1.4115432500839233,-6.9304118156433105,0.017722630873322487,0.0
-412.8575439453125,125.49734497070312,-3.310116767883301,55.06772232055664,-9.860295295715332,33.029998779296875,-19.41893768310547,8.48086929321289,-12.96281623840332,-3.027547597885132,-10.23946475982666,-3.0024640560150146,-2.9227542877197266,0.011683412827551365,1.0
